"model","threshold","missed_bankruptcy_cost_relative_to_false_positive","illustrative_cost_per_observation","recall","review_rate"
"Balanced random forest",0.03,10,0.434193821413457,0.91131498470948,0.435886584849767
"Balanced random forest",0.03,20,0.495556495979687,0.91131498470948,0.435886584849767
"Balanced random forest",0.04,5,0.349555649597969,0.874617737003058,0.366694879390605
"Balanced random forest",0.04,10,0.392932712653407,0.874617737003058,0.366694879390605
"Balanced random forest",0.04,20,0.479686838764283,0.874617737003058,0.366694879390605
"Balanced random forest",0.05,5,0.30787134997884,0.856269113149847,0.317393144308083
"Balanced random forest",0.05,10,0.35759627592044,0.856269113149847,0.317393144308083
"Balanced random forest",0.05,20,0.457046127803639,0.856269113149847,0.317393144308083
"Balanced random forest",0.06,5,0.277190012695726,0.840978593272171,0.280363944138807
"Balanced random forest",0.06,10,0.332204824375793,0.840978593272171,0.280363944138807
"Balanced random forest",0.06,20,0.442234447735929,0.840978593272171,0.280363944138807
"Balanced random forest",0.06646771608875,5,0.264071096064325,0.819571865443425,0.25835801946678
"Balanced random forest",0.06646771608875,10,0.326491747778248,0.819571865443425,0.25835801946678
"Balanced random forest",0.06646771608875,20,0.451333051206094,0.819571865443425,0.25835801946678
"Balanced random forest",0.07,5,0.258992805755396,0.807339449541284,0.248201438848921
"Balanced random forest",0.07,10,0.325645366060093,0.807339449541284,0.248201438848921
"Balanced random forest",0.07,20,0.458950486669488,0.807339449541284,0.248201438848921
"Balanced random forest",0.08,5,0.246085484553534,0.779816513761468,0.223867964451968
"Balanced random forest",0.08,10,0.322259839187474,0.779816513761468,0.223867964451968
"Balanced random forest",0.08,20,0.474608548455353,0.779816513761468,0.223867964451968
"Balanced random forest",0.09,5,0.241007194244604,0.749235474006116,0.206093948370715
"Balanced random forest",0.09,10,0.32776132035548,0.749235474006116,0.206093948370715
"Balanced random forest",0.09,20,0.501269572577232,0.749235474006116,0.206093948370715
"Balanced random forest",0.09345273658975,5,0.237410071942446,0.743119266055046,0.199957680914092
"Balanced random forest",0.09345273658975,10,0.326280152348709,0.743119266055046,0.199957680914092
"Balanced random forest",0.09345273658975,20,0.504020313161236,0.743119266055046,0.199957680914092
"Balanced random forest",0.1,5,0.227888277613204,0.737003058103975,0.187896741430385
"Balanced random forest",0.1,10,0.318874312314854,0.737003058103975,0.187896741430385
"Balanced random forest",0.1,20,0.500846381718155,0.737003058103975,0.187896741430385
"Balanced random forest",0.11,5,0.221540414727042,0.712538226299694,0.171392297926365
"Balanced random forest",0.11,10,0.320990266610241,0.712538226299694,0.171392297926365
"Balanced random forest",0.11,20,0.51988997037664,0.712538226299694,0.171392297926365
"Balanced random forest",0.12,5,0.214557765552264,0.697247706422018,0.158061785865425
"Balanced random forest",0.12,10,0.319297503173931,0.697247706422018,0.158061785865425
"Balanced random forest",0.12,20,0.528776978417266,0.697247706422018,0.158061785865425
"Balanced random forest",0.13,5,0.212441811256877,0.675840978593272,0.147058823529412
"Balanced random forest",0.13,10,0.324587388912399,0.675840978593272,0.147058823529412
"Balanced random forest",0.13,20,0.548878544223445,0.675840978593272,0.147058823529412
"Balanced random forest",0.14,5,0.207151925518409,0.660550458715596,0.135421074904782
"Balanced random forest",0.14,10,0.324587388912399,0.660550458715596,0.135421074904782
"Balanced random forest",0.14,20,0.559458315700381,0.660550458715596,0.135421074904782
"Balanced random forest",0.15,5,0.204401184934405,0.64525993883792,0.126322471434617
"Balanced random forest",0.15,10,0.327126534066864,0.64525993883792,0.126322471434617
"Balanced random forest",0.15,20,0.572577232331782,0.64525993883792,0.126322471434617
"Balanced random forest",0.16,5,0.201650444350402,0.63302752293578,0.118493440541684
"Balanced random forest",0.16,10,0.328607702073635,0.63302752293578,0.118493440541684
"Balanced random forest",0.16,20,0.582522217520102,0.63302752293578,0.118493440541684
"Balanced random forest",0.17,5,0.205459162082099,0.605504587155963,0.11087600507829
"Balanced random forest",0.17,10,0.341938214134575,0.605504587155963,0.11087600507829
"Balanced random forest",0.17,20,0.614896318239526,0.605504587155963,0.11087600507829
"Balanced random forest",0.18,5,0.208421498095641,0.587155963302752,0.106220905628438
"Balanced random forest",0.18,10,0.351248413034278,0.587155963302752,0.106220905628438
"Balanced random forest",0.18,20,0.636902242911553,0.587155963302752,0.106220905628438
"Balanced random forest",0.19,5,0.205882352941176,0.574923547400612,0.0986034701650444
"Balanced random forest",0.19,10,0.352941176470588,0.574923547400612,0.0986034701650444
"Balanced random forest",0.19,20,0.647058823529412,0.574923547400612,0.0986034701650444
"Balanced random forest",0.2,5,0.210537452391028,0.55045871559633,0.0931019889970377
"Balanced random forest",0.2,10,0.366060093101989,0.55045871559633,0.0931019889970377
"Balanced random forest",0.2,20,0.67710537452391,0.55045871559633,0.0931019889970377
"Balanced random forest",0.21,5,0.212018620397799,0.53822629969419,0.0895048666948794
"Balanced random forest",0.21,10,0.371773169699535,0.53822629969419,0.0895048666948794
"Balanced random forest",0.21,20,0.691282268303005,0.53822629969419,0.0895048666948794
"Balanced random forest",0.22,5,0.214557765552264,0.519877675840979,0.0844265763859501
"Balanced random forest",0.22,10,0.380660177740161,0.519877675840979,0.0844265763859501
"Balanced random forest",0.22,20,0.712865002115954,0.519877675840979,0.0844265763859501
"Balanced random forest",0.23,5,0.214557765552264,0.510703363914373,0.0806178586542531
"Balanced random forest",0.23,10,0.383834109183242,0.510703363914373,0.0806178586542531
"Balanced random forest",0.23,20,0.722386796445197,0.510703363914373,0.0806178586542531
"Balanced random forest",0.24,5,0.22027084214981,0.486238532110092,0.0761743546339399
"Balanced random forest",0.24,10,0.398011002962336,0.486238532110092,0.0761743546339399
"Balanced random forest",0.24,20,0.753491324587389,0.486238532110092,0.0761743546339399
"Balanced random forest",0.25,5,0.224502750740584,0.467889908256881,0.0727888277613204
"Balanced random forest",0.25,10,0.408590774439272,0.467889908256881,0.0727888277613204
"Balanced random forest",0.25,20,0.776766821836648,0.467889908256881,0.0727888277613204
"Balanced random forest",0.26,5,0.229792636479052,0.446483180428135,0.0691917054591621
"Balanced random forest",0.26,10,0.421286500211595,0.446483180428135,0.0691917054591621
"Balanced random forest",0.26,20,0.804274227676682,0.446483180428135,0.0691917054591621
"Balanced random forest",0.27,5,0.23338975878121,0.428134556574924,0.0651713922979264
"Balanced random forest",0.27,10,0.431231485399915,0.428134556574924,0.0651713922979264
"Balanced random forest",0.27,20,0.826914938637325,0.428134556574924,0.0651713922979264
"Balanced random forest",0.28,5,0.23677528565383,0.406727828746177,0.0596699111299196
"Balanced random forest",0.28,10,0.44202285230639,0.406727828746177,0.0596699111299196
"Balanced random forest",0.28,20,0.852517985611511,0.406727828746177,0.0596699111299196
"Balanced random forest",0.29,5,0.237833262801523,0.397553516819572,0.0569191705459162
"Balanced random forest",0.29,10,0.446254760897165,0.397553516819572,0.0569191705459162
"Balanced random forest",0.29,20,0.863097757088447,0.397553516819572,0.0569191705459162
"Balanced random forest",0.3,5,0.235928903935675,0.397553516819572,0.0550148116800677
"Balanced random forest",0.3,10,0.444350402031316,0.397553516819572,0.0550148116800677
"Balanced random forest",0.3,20,0.861193398222598,0.397553516819572,0.0550148116800677
"Balanced random forest",0.31,5,0.239102835378756,0.382262996941896,0.0518408802369869
"Balanced random forest",0.31,10,0.452814219212865,0.382262996941896,0.0518408802369869
"Balanced random forest",0.31,20,0.880236986881083,0.382262996941896,0.0518408802369869
"Balanced random forest",0.32,5,0.241430385103682,0.37308868501529,0.0503597122302158
"Balanced random forest",0.32,10,0.458315700380872,0.37308868501529,0.0503597122302158
"Balanced random forest",0.32,20,0.892086330935252,0.37308868501529,0.0503597122302158
"Balanced random forest",0.33,5,0.244815911976301,0.357798165137615,0.0473973762166737
"Balanced random forest",0.33,10,0.466991112991959,0.357798165137615,0.0473973762166737
"Balanced random forest",0.33,20,0.911341515023276,0.357798165137615,0.0473973762166737
"Balanced random forest",0.34,5,0.247566652560305,0.345565749235474,0.0450698264917478
"Balanced random forest",0.34,10,0.473973762166737,0.345565749235474,0.0450698264917478
"Balanced random forest",0.34,20,0.926787981379602,0.345565749235474,0.0450698264917478
"Balanced random forest",0.35,5,0.247355057130766,0.342507645259939,0.0435886584849767
"Balanced random forest",0.35,10,0.474820143884892,0.342507645259939,0.0435886584849767
"Balanced random forest",0.35,20,0.929750317393144,0.342507645259939,0.0435886584849767
"Balanced random forest",0.36,5,0.246931866271689,0.342507645259939,0.0431654676258993
"Balanced random forest",0.36,10,0.474396953025815,0.342507645259939,0.0431654676258993
"Balanced random forest",0.36,20,0.929327126534067,0.342507645259939,0.0431654676258993
"Balanced random forest",0.37,5,0.248836225137537,0.333333333333333,0.0412611087600508
"Balanced random forest",0.37,10,0.479475243334744,0.333333333333333,0.0412611087600508
"Balanced random forest",0.37,20,0.940753279729158,0.333333333333333,0.0412611087600508
"Balanced random forest",0.38,5,0.256242065171392,0.311926605504587,0.0397799407532797
"Balanced random forest",0.38,10,0.494286923402455,0.311926605504587,0.0397799407532797
"Balanced random forest",0.38,20,0.970376639864579,0.311926605504587,0.0397799407532797
"Balanced random forest",0.39,5,0.260473973762167,0.296636085626911,0.0376639864578925
"Balanced random forest",0.39,10,0.503808717731697,0.296636085626911,0.0376639864578925
"Balanced random forest",0.39,20,0.990478205670758,0.296636085626911,0.0376639864578925
"Balanced random forest",0.4,5,0.262801523487093,0.284403669724771,0.0349132458738891
"Balanced random forest",0.4,10,0.510368176047397,0.284403669724771,0.0349132458738891
"Balanced random forest",0.4,20,1.00550148116801,0.284403669724771,0.0349132458738891
"Balanced random forest",0.41,5,0.263436309775709,0.2782874617737,0.0330088870080406
"Balanced random forest",0.41,10,0.513118916631401,0.2782874617737,0.0330088870080406
"Balanced random forest",0.41,20,1.01248413034278,0.2782874617737,0.0330088870080406
"Balanced random forest",0.42,5,0.262589928057554,0.2782874617737,0.0321625052898857
"Balanced random forest",0.42,10,0.512272534913246,0.2782874617737,0.0321625052898857
"Balanced random forest",0.42,20,1.01163774862463,0.2782874617737,0.0321625052898857
"Balanced random forest",0.43,5,0.266821836648328,0.26605504587156,0.0313161235717309
"Balanced random forest",0.43,10,0.520736352094795,0.26605504587156,0.0313161235717309
"Balanced random forest",0.43,20,1.02856538298773,0.26605504587156,0.0313161235717309
"Balanced random forest",0.44,5,0.268726195514177,0.256880733944954,0.0294117647058824
"Balanced random forest",0.44,10,0.525814642403724,0.256880733944954,0.0294117647058824
"Balanced random forest",0.44,20,1.03999153618282,0.256880733944954,0.0294117647058824
"Balanced random forest",0.45,5,0.27147693609818,0.247706422018349,0.0283537875581887
"Balanced random forest",0.45,10,0.531739314430808,0.247706422018349,0.0283537875581887
"Balanced random forest",0.45,20,1.05226407109606,0.247706422018349,0.0283537875581887
"Balanced random forest",0.46,5,0.26978417266187,0.247706422018349,0.026661024121879
"Balanced random forest",0.46,10,0.530046550994498,0.247706422018349,0.026661024121879
"Balanced random forest",0.46,20,1.05057130765975,0.247706422018349,0.026661024121879
"Balanced random forest",0.47,5,0.269149386373254,0.247706422018349,0.0260262378332628
"Balanced random forest",0.47,10,0.529411764705882,0.247706422018349,0.0260262378332628
"Balanced random forest",0.47,20,1.04993652137114,0.247706422018349,0.0260262378332628
"Balanced random forest",0.48,5,0.271900126957258,0.238532110091743,0.0249682606855692
"Balanced random forest",0.48,10,0.535336436732967,0.238532110091743,0.0249682606855692
"Balanced random forest",0.48,20,1.06220905628438,0.238532110091743,0.0249682606855692
"Balanced random forest",0.49,5,0.277190012695726,0.223241590214067,0.0239102835378756
"Balanced random forest",0.49,10,0.545916208209903,0.223241590214067,0.0239102835378756
"Balanced random forest",0.49,20,1.08336859923826,0.223241590214067,0.0239102835378756
"Balanced random forest",0.5,5,0.281633516716039,0.207951070336391,0.0220059246720271
"Balanced random forest",0.5,10,0.555649597968684,0.207951070336391,0.0220059246720271
"Balanced random forest",0.5,20,1.10368176047397,0.207951070336391,0.0220059246720271
